"sensor_index","name","latitude","longitude"
"61233","Montana St","37.922974","-122.383064"
"65413","Kittyweyr","37.925434","-122.38814"
"118991","At Street","37.928528","-122.39458"
"119785","Near bay","37.92835","-122.394745"
"152254","154 collins GWR","37.93226","-122.37145"
"190417","GWR Marine st","37.930088","-122.391945"
"196181","GWR Golden Gate ave","37.927853","-122.390144"
"202539","Sanderling","37.908524","-122.38181"
"219543","Castro St GWR","37.928017","-122.388855"
"219573","GWR Chanslor Estate","37.932674","-122.36682"
"219741","343 River GWR","37.934875","-122.37269"
"219775","GWR Fire station 62","37.948196","-122.36503"
"219773","GWR Bridge Art space","37.928345","-122.36937"
"243393","Seacliff Pt Richmond","37.911755","-122.376144"
"254831","Point Richmond Rose Monitor","37.928593","-122.38631"
